Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest
ICE v3.0b 2019 (UK),Steel,Tinplate,2.85,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,finished cold-rolled coil,2.73,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,hot-dip galvanized steel,2.76,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Plate,2.46,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Cold Rolled Coil,2.53,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,pickled hot-rolled coil,2.42,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Wire rod,2.27,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Hot Rolled Coil,2.28,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Rebar,1.99,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Section,1.55,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,Engineering steel,1.27,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Steel,global seamless tube,2.13,World average steel,7800,0,General steel value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Average of all data - No Carbon Storage,0.492826143,"Average of data collected, 211 datapoints. This is not a weighted average. It is an average of all data collected on timber. Excludes Carbon Storage.",650,10,Pine value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Chipboard - No Carbon Storage,0.400163731,"Average of data collected, 6 datapoints.  Excludes Carbon Storage.",1330,10,https://www.ribaproductselector.com/Docs/1/00961/external/COL992473.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Closed panel timber frame system - No Carbon Storage,0.452459016,"Average of data collected, 1 datapoints. This dataset is based upon a single datapoint. It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,CLT - No Carbon Storage,0.437344479,"Average of data collected, 3 datapoints. This dataset is based upon a small sample size.  It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",700,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Fibreboard - No Carbon Storage,0.715306502,"Average of data collected, 5 datapoints. This dataset is based upon a small sample size.  It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",1330,10,https://www.ribaproductselector.com/Docs/1/00961/external/COL992473.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Glulam - No Carbon Storage,0.512127049,"Average of data collected, 13 datapoints.  Excludes Carbon Storage.",700,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Hardboard - No Carbon Storage,0.815247536,"Average of data collected, 1 datapoints. This dataset is based upon a single datapoint. It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Hardwood - No Carbon Storage,0.305560544,"Average of data collected, 22 datapoints.  Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Laminate - No Carbon Storage,0.69776337,"Average of data collected, 11 datapoints.  Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Laminated strand lumber - No Carbon Storage,0.504079166,"Average of data collected, 1 datapoints. This dataset is based upon a single datapoint. It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Laminated veneer lumber - No Carbon Storage,0.389801514,"Average of data collected, 5 datapoints. This dataset is based upon a small sample size.  It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,MDF - No Carbon Storage,0.856454322,"Average of data collected, 13 datapoints.  Excludes Carbon Storage.",720,10,https://www.ribaproductselector.com/Docs/1/27901/external/COL812459.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Open panel timber frame system - No Carbon Storage,0.345177665,"Average of data collected, 1 datapoints. This dataset is based upon a single datapoint. It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",700,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,OSB - No Carbon Storage,0.455069121,"Average of data collected, 16 datapoints.  Excludes Carbon Storage.",630,10,https://www.ribaproductselector.com/ProductReport.ashx?ci=5477&pr=Norbord-SterlingOSBZero,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Parquet - No Carbon Storage,0.811218986,"Average of data collected, 8 datapoints.  Excludes Carbon Storage.",1330,10,https://www.ribaproductselector.com/Docs/1/00961/external/COL992473.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Particle Board - No Carbon Storage,0.664265943,"Average of data collected, 13 datapoints.  Excludes Carbon Storage.",1330,10,https://www.ribaproductselector.com/Docs/1/00961/external/COL992473.pdf,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Plywood - No Carbon Storage,0.681464286,"Average of data collected, 11 datapoints.  Excludes Carbon Storage.",620,10,Average plywood value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Softwood - No Carbon Storage,0.262594458,"Average of data collected, 43 datapoints.  Excludes Carbon Storage.",563,10,Average softwood value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Wood I-Beam - No Carbon Storage,0.483302051,"Average of data collected, 37 datapoints.  Excludes Carbon Storage.",650,10,Pine value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Timber,Wood-plastic composite - No Carbon Storage,1.44,"Average of data collected, 1 datapoints. This dataset is based upon a single datapoint. It may therefore be subject to larger uncertainty than normal. Excludes Carbon Storage.",650,10,Pine value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Insulation,General,1.86,Estimated from typical market shares,110,15,From CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Insulation,Fibreglass (Glasswool),1.35,"Poor data, difficult to select appropriate value",25,15,from insulation-info.org,WRAP,TRUE
ICE v3.0b 2019 (UK),Insulation,Flax,1.7,None,120,15,ScienceDirect,WRAP,TRUE
ICE v3.0b 2019 (UK),Insulation,Mineral wool,1.28,None,70,15,ScienceDirect,WRAP,TRUE
ICE v3.0b 2019 (UK),Insulation,Paper wool,0.63,None,65,16,ScienceDirect,WRAP,TRUE
NMD (Netherlands),Fill materials,Sand,0.003970179,None,1800,0,None,None,TRUE
NMD (Netherlands),Fill materials,EPS,0.246392161,None,20,0,None,None,TRUE
NMD (Netherlands),Fill materials,Foam concrete,0.2373153,None,0,0,None,None,TRUE
NMD (Netherlands),Fill materials,Clay,0.20116599,None,1400,0,None,None,TRUE
NMD (Netherlands),Fill materials,HDPE,2.3116103,None,950,0,None,None,TRUE
NMD (Netherlands),Reinforcement,Reinforcement steel,2.13175,None,7850,0,None,None,TRUE
NMD (Netherlands),Concrete,Concrete C20/25,0.066103486,None,2300,0,None,None,TRUE
NMD (Netherlands),Concrete,Concrete C20/25 75%CEMII 25% CEMI,0.086950528,None,2300,0,None,None,TRUE
NMD (Netherlands),Concrete,Concrete C20/25 20% secundairy fill,0.050546096,None,2300,0,None,None,TRUE
NMD (Netherlands),Concrete,Concrete C30/37 75%CEMII 25% CEMI,0.096276388,None,2300,0,None,None,TRUE
NMD (Netherlands),Concrete,Concrete C20/25 prefab,0.118762768,None,2300,0,None,None,TRUE
NMD (Netherlands),Metal,Steel heavy,0.908,None,7850,0,None,None,TRUE
NMD (Netherlands),Metal,Steel light,2.5,None,7850,0,None,None,TRUE
NMD (Netherlands),Metal,Steel medium,2.59,None,7850,0,None,None,TRUE
NMD (Netherlands),Metal,Steel plates,2.57,None,7850,0,None,None,TRUE
NMD (Netherlands),Metal,Steel RVS,5.0733127,None,7850,0,None,None,TRUE
NMD (Netherlands),Metal,Aluminium,4.4897202,None,2755,0,None,None,TRUE
NMD (Netherlands),Timber,Foundation piles,0.23461902,None,580,0,None,None,TRUE
NMD (Netherlands),Timber,Multiplex Vuren,0.87423127,None,580,0,None,None,TRUE
NMD (Netherlands),Timber,Multiplex Okoume,0.83014058,None,500,0,None,None,TRUE
NMD (Netherlands),Timber,Planks Grenen,0.42222735,None,700,0,None,None,TRUE
NMD (Netherlands),Timber,Planks Meranti,0.21342616,None,650,0,None,None,TRUE
NMD (Netherlands),Stone,Brick,0.24430374,None,1822,0,None,None,TRUE
NMD (Netherlands),Glass,Double glazing,1.1306612,None,1823,0,None,None,TRUE
NMD (Netherlands),Coating,Powdercoat steel,15.8,None,1824,0,None,None,TRUE
NMD (Netherlands),Coating,Anodiseren,12.4,None,1825,0,None,None,TRUE
NMD (Netherlands),Coating,Powdercoat Aluminium,16.2,None,1826,0,None,None,TRUE
NMD (Netherlands),Coating,Sinck coating,4.69,None,1827,0,None,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete block,0.24,None,1400,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Cement,Cement mortar,0.35,None,1858,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Cement,Portland cement,1.3,None,1500,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Autoclaved aerated concrete (AAC),0.71,None,550,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 20 MPa,0.1405,None,2335,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 20 MPa - 30% fly ash,0.1075,None,2335,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 20 MPa - 30% GGBFS,0.1126,None,2335,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 25 MPa,0.1499,None,2409,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 25 MPa - 30% fly ash,0.115,None,2409,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 25 MPa - 30% GGBFS,0.1216,None,2409,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 32 MPa,0.1788,None,2327,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 32 MPa - 30% fly ash,0.1349,None,2327,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 32 MPa - 30% GGBFS,0.1422,None,2327,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 40 MPa,0.2071,None,2400,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 40 MPa - 30% fly ash,0.1554,None,2400,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 40 MPa - 30% GGBFS,0.1633,None,2400,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 50 MPa,0.2573,None,2332,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 50 MPa - 30% fly ash,0.2003,None,2332,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Concrete,Concrete 50 MPa - 30% GGBFS,0.211,None,2332,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet,1.6,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet - 4.5 mm,1.5686,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet - 6 mm,1.5571,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet - 7.5 mm,1.5594,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet - 18 mm,1.5609,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement sheet - 24 mm,1.5629,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Fibre Cement,Fibre cement weatherboard,2.2,None,1445,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plaster,Gypsum plaster,0.44,None,1956,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plaster,Plasterboard - 10 mm,1.0175,None,570,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plaster,Plasterboard - 13 mm,0.8772,None,570,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Tiles,Concrete roof tile,0.39,None,2100,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Double glazing - flat glass,4.8558,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - flat glass, 4:12:4",4.8558,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - flat glass, 6:6:6",3.4615,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - flat glass, 6:12:6",3.4615,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass,2,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 3 mm,2.0128,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 4 mm,2.0192,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 5 mm,2.0154,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 6 mm,2.0128,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 10 mm,2.0154,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Flat glass sheet - 12 mm,2.016,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Laminated glass,2.8,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Laminated glass sheet - 6.38 mm,2.8213,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Laminated glass sheet - 8.38 mm,2.8181,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Laminated glass sheet - 10.38 mm,2.8198,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Laminated glass sheet - 12.38 mm,2.8178,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Double glazing - toughened glass,4.4231,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 4:12:4",5.5288,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 5:6:5",4.6923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 5:12:5",4.6923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 6:6:6",4.1026,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 6:12:6",4.1026,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 10:6:6",3.9663,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 10:6:10",3.8846,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 10:12:6",3.9663,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,"Double glazing - toughened glass, 10:12:10",3.8846,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass,2.2,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 3 mm,2.1923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 4 mm,2.1923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 5 mm,2.1923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 6 mm,2.1923,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 10 mm,2.1885,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Glass,Toughened glass sheet - 12 mm,2.1891,None,2600,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Cellulose insulation,0.79,None,50,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Cellulose insulation - 80 mm (R2),0.775,None,50,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Cellulose insulation - 100 mm (R2.5),0.78,None,50,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Aluminium foil insulation,0.5919,None,321,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Glasswool insulation,4,None,25,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Glasswool insulation - 80 mm (R2),4,None,25,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Glasswool insulation - 100 mm (R2.5),4.04,None,25,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Rockwool insulation,3.8,None,70,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Rockwool insulation - 80 mm (R2),3.7679,None,70,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Rockwool insulation - 100 mm (R2.5),3.7714,None,70,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,EPS/XPS insulation - 72 mm (R2),7.7899,None,23,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,EPS/XPS insulation - 90 mm (R2.5),7.8261,None,23,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Polystyrene (EPS/XPS) insulation,8,None,23,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,Polyurethane (PU) rigid foam insulation,17.5,None,30,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,PU rigid foam insulation - 44 mm (R2),17.5,None,30,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Insulation,PU rigid foam insulation - 55 mm (R2.5),17.4545,None,30,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium angle extruded,32.7,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar,29.6,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar flat - 12 mm × 3mm,29.7034,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar flat - 40 mm × 3mm,29.4985,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar flat - 100 mm × 6mm,29.6214,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar round - 16 mm dia.,29.7095,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar round - 50 mm dia.,29.6714,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium bar round - 150 mm dia.,29.6296,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium composite panel,0.3761,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium extruded,29.4,None,1900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium extruded powdercoated,33.6,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium round tube - 25 mm dia., 3.2 mm thick",15.8155,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium round tube - 60 mm dia., 10 mm thick",16.784,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium round tube - 80 mm dia., 6 mm thick",15.2794,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium sheet,26.7,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium sheet - 1.6 mm,26.733,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium sheet - 3 mm,26.6716,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,Aluminium sheet - 6 mm,26.6716,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium square tube - 20 × 20 mm, 1.6 mm thick",15.3429,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium square tube - 40 × 40 mm, 2 mm thick",15.0404,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Aluminimum,"Aluminium square tube - 100 × 100 mm, 3 mm thick",14.9203,None,2712,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper pipe,10.1,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,"Copper pipe - 12.7 mm outer dia., 0.91 mm thick",9.9559,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,"Copper pipe - 19.05 mm outer dia., 1.02 mm thick",10.0675,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,"Copper pipe - 40 mm outer dia., 1.22 mm thick",10.0844,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper sheet,15.1,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper sheet - 0.9 mm,15.0385,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper sheet - 1.2 mm,15.1007,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper sheet - 2 mm,15.1007,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper sheet - 3 mm,15.1007,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Copper,Copper wire,41.8,None,8940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Bare wire - 2 mm dia.,139.826,None,774,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Bare wire - 3.2 mm dia.,13.9762,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Cold rolled stainless steel,9.2,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Stainless steel extruded,11.8,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Stainless steel sheet,7.2,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Stainless steel sheet products,14.7,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Stainless steel wire,13.9,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Wire Rope - 1.6 mm dia.,9.6387,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Wire Rope - 4 mm dia.,8.9448,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Wire Rope - 8 mm dia.,9.2532,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Stainless Steel,Wire Rope - 12 mm dia.,8.9105,None,7740,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Cold rolled steel,3.7,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Hot rolled galvanised structural steel,3.3,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Hot rolled structural steel,2.9,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Square tube - 20 × 20 mm, 1.6 mm thick",4.9761,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Square tube - 50 × 50 mm, 2 mm thick",4.8102,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Square tube - 100 × 100 mm, 4 mm thick",4.7937,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel bar,2.1,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel hollow section extruded,4.6,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel pipe,3.5,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Steel pipe - 21.3 mm outer dia., 2.6 mm thick",3.5028,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Steel pipe - 42.4 mm outer dia., 2.6 mm thick",3.5267,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Steel pipe - 88.9 mm outer dia., 4 mm thick",3.5302,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,"Steel pipe - 165.1 mm outer dia., 4.9 mm thick",3.5384,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel reinforcement bar - 6 mm dia.,2.8835,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel reinforcement bar - 8 mm dia.,2.7877,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel reinforcement bar - 12 mm dia.,2.9285,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel sheet corrugated,5.5,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel sheet corrugated colorbond,1.586,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Steel,Steel sheet corrugated - per square metre,1.1401,None,7850,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Asphalt,Asphalt,0.2,None,2649,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,Nylon carpet,8.9143,None,350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,"Tufted carpet, nylon - prestige",15.8,None,350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,"Tufted carpet, nylon - quality",9.5143,None,350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,"Tufted carpet, wool - prestige",12.1132,None,530,0,Value from EPiC data,None,TRUE
